location_name,date,location_id,deaths_mean_smoothed,deaths_lower_smoothed,deaths_upper_smoothed
El Salvador,2020-12-02,127,16.2625523170043,5.77730033668013,36.1687879116803
El Salvador,2020-12-03,127,16.97105772143,5.9801785208499,38.0624130734202
El Salvador,2020-12-04,127,17.7169908947144,6.19421914036002,39.9908793470399
El Salvador,2020-12-05,127,18.4964223555136,6.41438838790009,42.0672654873899
El Salvador,2020-12-06,127,19.3130737307007,6.66547654554006,44.2600670540601
El Salvador,2020-12-07,127,20.1707925285655,6.88220396622,46.46782437154
El Salvador,2020-12-08,127,21.0718756569,7.14266198312998,48.8537526838995
El Salvador,2020-12-09,127,22.0224410444943,7.41677779673023,51.4798457776105
El Salvador,2020-12-10,127,23.0284483807962,7.73629973172001,54.6615352720105
El Salvador,2020-12-11,127,24.0858152641697,8.08373042135031,57.8179336164301
El Salvador,2020-12-12,127,25.1892204396214,8.35318436996022,60.96577983014
El Salvador,2020-12-13,127,26.3429709311543,8.69721612318995,64.1714482547
El Salvador,2020-12-14,127,27.5515220988955,9.06575856088011,67.8770158586503
El Salvador,2020-12-15,127,28.8173092250028,9.42670010865982,71.4401183784998
El Salvador,2020-12-16,127,30.1476134742668,9.75660073567019,75.0535837416996
El Salvador,2020-12-17,127,31.5494506704682,10.158315253,79.6638963698101
El Salvador,2020-12-18,127,33.0170988344125,10.58887349463,84.0847942129499
El Salvador,2020-12-19,127,34.5429055121587,11.0339488403902,88.96275193361
El Salvador,2020-12-20,127,36.1309374174671,11.4103482878702,94.0816709680302
El Salvador,2020-12-21,127,37.785382411064,11.7969184344797,98.4370709076802
El Salvador,2020-12-22,127,39.5078178927039,12.2040681835601,102.64694204118
El Salvador,2020-12-23,127,41.3057193103547,12.73270576196,107.983431787869
El Salvador,2020-12-24,127,43.186090478251,13.3583025896198,113.12095985756
El Salvador,2020-12-25,127,45.140324858919,13.8655019527603,119.02174113547
El Salvador,2020-12-26,127,47.1569043611365,14.3935450234399,124.90828688924
El Salvador,2020-12-27,127,49.2377711693594,14.9434028508101,130.23848108171
El Salvador,2020-12-28,127,51.3849461401178,15.67790026425,135.53374433314
El Salvador,2020-12-29,127,53.5972624722027,16.28078903859,141.083421124839
El Salvador,2020-12-30,127,55.8803261377232,16.8037204863599,147.80424055635
El Salvador,2020-12-31,127,58.2390810272692,17.3412842125306,154.61490622211
El Salvador,2021-01-01,127,60.6606184266669,18.0269289849796,161.937529915801
Guatemala,2020-02-04,128,0,0,0
Guatemala,2020-02-05,128,0,0,0
Guatemala,2020-02-06,128,0,0,0
Guatemala,2020-02-07,128,0,0,0
Guatemala,2020-02-08,128,0,0,0
Guatemala,2020-02-08,128,0,0,0
Guatemala,2020-02-09,128,0,0,0
Guatemala,2020-02-09,128,0,0,0
Guatemala,2020-02-10,128,0,0,0
Guatemala,2020-02-10,128,0,0,0
Guatemala,2020-02-11,128,0,0,0
Guatemala,2020-02-11,128,0,0,0
Guatemala,2020-02-12,128,0,0,0
Guatemala,2020-02-12,128,0,0,0
Guatemala,2020-02-13,128,0,0,0
Guatemala,2020-02-13,128,0,0,0
Guatemala,2020-02-14,128,0,0,0
Guatemala,2020-02-14,128,0,0,0
Guatemala,2020-02-15,128,0,0,0
Guatemala,2020-02-15,128,0,0,0
Guatemala,2020-02-16,128,0,0,0
Guatemala,2020-02-16,128,0,0,0
Guatemala,2020-02-17,128,0,0,0
Guatemala,2020-02-17,128,0,0,0
Guatemala,2020-02-18,128,0,0,0
Guatemala,2020-02-18,128,0,0,0
Guatemala,2020-02-19,128,0,0,0
Guatemala,2020-02-19,128,0,0,0
Guatemala,2020-02-20,128,0,0,0
Guatemala,2020-02-20,128,0,0,0
Guatemala,2020-02-21,128,0,0,0
Guatemala,2020-02-21,128,0,0,0
Guatemala,2020-02-22,128,0,0,0
Guatemala,2020-02-22,128,0,0,0
Guatemala,2020-02-23,128,0,0,0
Guatemala,2020-02-23,128,0,0,0
Guatemala,2020-02-24,128,0,0,0
Guatemala,2020-02-24,128,0,0,0
Guatemala,2020-02-25,128,0,0,0
Guatemala,2020-02-25,128,0,0,0
Guatemala,2020-02-26,128,0,0,0
Guatemala,2020-02-26,128,0,0,0
Guatemala,2020-02-27,128,0,0,0
Guatemala,2020-02-27,128,0,0,0
Guatemala,2020-02-28,128,0,0,0
Guatemala,2020-02-28,128,0,0,0
Guatemala,2020-02-29,128,0,0,0
Guatemala,2020-02-29,128,0,0,0
Guatemala,2020-03-01,128,0,0,0
Guatemala,2020-03-01,128,0,0,0
Guatemala,2020-03-02,128,0,0,0
Guatemala,2020-03-02,128,0,0,0
Guatemala,2020-03-03,128,0,0,0
Guatemala,2020-03-03,128,0,0,0
Guatemala,2020-03-04,128,0,0,0
Guatemala,2020-03-04,128,0,0,0
Guatemala,2020-03-05,128,0,0,0
Guatemala,2020-03-05,128,0,0,0
Guatemala,2020-03-06,128,0,0,0
Guatemala,2020-03-06,128,0,0,0
Guatemala,2020-03-07,128,0,0,0
Guatemala,2020-03-07,128,0,0,0
Guatemala,2020-03-08,128,0,0,0
Guatemala,2020-03-08,128,0,0,0
Guatemala,2020-03-09,128,0,0,0
Guatemala,2020-03-09,128,0,0,0
Guatemala,2020-03-10,128,0,0,0
Guatemala,2020-03-10,128,0,0,0
Guatemala,2020-03-11,128,0,0,0
Guatemala,2020-03-11,128,0,0,0
Guatemala,2020-03-12,128,0,0,0
Guatemala,2020-03-12,128,0,0,0
Guatemala,2020-03-13,128,0,0,0
Guatemala,2020-03-13,128,0,0,0
Guatemala,2020-03-14,128,0.0765558320542315,0.0765558320542315,0.0765558320542315
Guatemala,2020-03-14,128,0.0765558320542315,0.0765558320542315,0.0765558320542315
Guatemala,2020-03-15,128,0.0767836155413915,0.0767836155413915,0.0767836155413915
Guatemala,2020-03-15,128,0.0767836155413915,0.0767836155413915,0.0767836155413915
Guatemala,2020-03-16,128,0.077326637105738,0.077326637105738,0.077326637105738
Guatemala,2020-03-16,128,0.077326637105738,0.077326637105738,0.077326637105738
Guatemala,2020-03-17,128,0.07819469527374,0.07819469527374,0.07819469527374
Guatemala,2020-03-17,128,0.07819469527374,0.07819469527374,0.07819469527374
Guatemala,2020-03-18,128,0.079401919761406,0.079401919761406,0.079401919761406
Guatemala,2020-03-18,128,0.079401919761406,0.079401919761406,0.079401919761406
Guatemala,2020-03-19,128,0.080967119974239,0.080967119974239,0.080967119974239
Guatemala,2020-03-19,128,0.080967119974239,0.080967119974239,0.080967119974239
Guatemala,2020-03-20,128,0.082914358308479,0.082914358308479,0.082914358308479
Guatemala,2020-03-20,128,0.082914358308479,0.082914358308479,0.082914358308479
Guatemala,2020-03-21,128,0.0852741554628829,0.0852741554628829,0.0852741554628829
Guatemala,2020-03-21,128,0.0852741554628829,0.0852741554628829,0.0852741554628829
Guatemala,2020-03-22,128,0.0880844809301342,0.0880844809301342,0.0880844809301342
Guatemala,2020-03-22,128,0.0880844809301342,0.0880844809301342,0.0880844809301342
Guatemala,2020-03-23,128,0.0913913976959659,0.0913913976959658,0.0913913976959658
Guatemala,2020-03-23,128,0.0913913976959659,0.0913913976959658,0.0913913976959658
Guatemala,2020-03-24,128,0.0952509007064521,0.0952509007064521,0.0952509007064521
Guatemala,2020-03-24,128,0.0952509007064521,0.0952509007064521,0.0952509007064521
Guatemala,2020-03-25,128,0.0997295230675199,0.0997295230675199,0.0997295230675199
Guatemala,2020-03-25,128,0.0997295230675199,0.0997295230675199,0.0997295230675199
Guatemala,2020-03-26,128,0.10490418411965,0.10490418411965,0.10490418411965
Guatemala,2020-03-26,128,0.10490418411965,0.10490418411965,0.10490418411965
Guatemala,2020-03-27,128,0.11086359417878,0.11086359417878,0.11086359417878
Guatemala,2020-03-27,128,0.11086359417878,0.11086359417878,0.11086359417878
Guatemala,2020-03-28,128,0.11771078573725,0.11771078573725,0.11771078573725
Guatemala,2020-03-28,128,0.11771078573725,0.11771078573725,0.11771078573725
Guatemala,2020-03-29,128,0.12556286350165,0.12556286350165,0.12556286350165
Guatemala,2020-03-29,128,0.12556286350165,0.12556286350165,0.12556286350165
Guatemala,2020-03-30,128,0.1345497977242,0.1345497977242,0.1345497977242
Guatemala,2020-03-30,128,0.1345497977242,0.1345497977242,0.1345497977242
Guatemala,2020-03-31,128,0.14481780565076,0.14481780565076,0.14481780565076
Guatemala,2020-03-31,128,0.14481780565076,0.14481780565076,0.14481780565076
Guatemala,2020-04-01,128,0.15652609122729,0.15652609122729,0.15652609122729
Guatemala,2020-04-01,128,0.15652609122729,0.15652609122729,0.15652609122729
Guatemala,2020-04-02,128,0.16984449813464,0.16984449813464,0.16984449813464
Guatemala,2020-04-02,128,0.16984449813464,0.16984449813464,0.16984449813464
Guatemala,2020-04-03,128,0.18495386889303,0.18495386889303,0.18495386889303
Guatemala,2020-04-03,128,0.18495386889303,0.18495386889303,0.18495386889303
Guatemala,2020-04-04,128,0.20203847210735,0.20203847210735,0.20203847210735
Guatemala,2020-04-04,128,0.20203847210735,0.20203847210735,0.20203847210735
Guatemala,2020-04-05,128,0.2212772624888,0.2212772624888,0.2212772624888
Guatemala,2020-04-05,128,0.2212772624888,0.2212772624888,0.2212772624888
Guatemala,2020-04-06,128,0.24283651940567,0.24283651940567,0.24283651940567
Guatemala,2020-04-06,128,0.24283651940567,0.24283651940567,0.24283651940567
Guatemala,2020-04-07,128,0.26685972450924,0.26685972450924,0.26685972450924
Guatemala,2020-04-07,128,0.26685972450924,0.26685972450924,0.26685972450924
Guatemala,2020-04-08,128,0.29345274480372,0.29345274480372,0.29345274480372
Guatemala,2020-04-08,128,0.29345274480372,0.29345274480372,0.29345274480372
Guatemala,2020-04-09,128,0.32266523472961,0.32266523472961,0.32266523472961
Guatemala,2020-04-09,128,0.32266523472961,0.32266523472961,0.32266523472961
Guatemala,2020-04-10,128,0.35448294294111,0.35448294294111,0.35448294294111
Guatemala,2020-04-10,128,0.35448294294111,0.35448294294111,0.35448294294111
Guatemala,2020-04-11,128,0.388819464465169,0.388819464465169,0.388819464465169
Guatemala,2020-04-11,128,0.388819464465169,0.388819464465169,0.388819464465169
Guatemala,2020-04-12,128,0.42548150688626,0.425481506886261,0.425481506886261
Guatemala,2020-04-12,128,0.42548150688626,0.425481506886261,0.425481506886261
Guatemala,2020-04-13,128,0.464166967436461,0.464166967436461,0.464166967436461
Guatemala,2020-04-13,128,0.464166967436461,0.464166967436461,0.464166967436461
Guatemala,2020-04-14,128,0.504470894104469,0.504470894104469,0.504470894104469
Guatemala,2020-04-14,128,0.504470894104469,0.504470894104469,0.504470894104469
Guatemala,2020-04-15,128,0.54587874420025,0.54587874420025,0.54587874420025
Guatemala,2020-04-15,128,0.54587874420025,0.54587874420025,0.54587874420025
Guatemala,2020-04-16,128,0.587770321680949,0.587770321680949,0.587770321680949
Guatemala,2020-04-16,128,0.587770321680949,0.587770321680949,0.587770321680949
Guatemala,2020-04-17,128,0.62949083395615,0.62949083395615,0.62949083395615
Guatemala,2020-04-17,128,0.62949083395615,0.62949083395615,0.62949083395615
Guatemala,2020-04-18,128,0.670366254496378,0.670366254496378,0.670366254496378
Guatemala,2020-04-18,128,0.670366254496378,0.670366254496378,0.670366254496378
Guatemala,2020-04-19,128,0.709711117189089,0.709711117189089,0.709711117189089
Guatemala,2020-04-19,128,0.709711117189089,0.709711117189089,0.709711117189089
Guatemala,2020-04-20,128,0.746867784425193,0.746867784425193,0.746867784425193
Guatemala,2020-04-20,128,0.746867784425193,0.746867784425193,0.746867784425193
Guatemala,2020-04-21,128,0.7812478539491,0.7812478539491,0.7812478539491
Guatemala,2020-04-21,128,0.7812478539491,0.7812478539491,0.7812478539491
Guatemala,2020-04-22,128,0.812362091406298,0.812362091406298,0.812362091406298
Guatemala,2020-04-22,128,0.812362091406298,0.812362091406298,0.812362091406298
Guatemala,2020-04-23,128,0.8398585077849,0.8398585077849,0.8398585077849
Guatemala,2020-04-23,128,0.8398585077849,0.8398585077849,0.8398585077849
Guatemala,2020-04-24,128,0.863560008388602,0.863560008388602,0.863560008388602
Guatemala,2020-04-24,128,0.863560008388602,0.863560008388602,0.863560008388602
Guatemala,2020-04-25,128,0.8835221122969,0.8835221122969,0.8835221122969
Guatemala,2020-04-25,128,0.8835221122969,0.8835221122969,0.8835221122969
Guatemala,2020-04-26,128,0.900018564379399,0.900018564379399,0.900018564379399
Guatemala,2020-04-26,128,0.900018564379399,0.900018564379399,0.900018564379399
Guatemala,2020-04-27,128,0.913519449925302,0.913519449925302,0.913519449925302
Guatemala,2020-04-27,128,0.913519449925302,0.913519449925302,0.913519449925302
Guatemala,2020-04-28,128,0.9246922341526,0.9246922341526,0.9246922341526
Guatemala,2020-04-28,128,0.9246922341526,0.9246922341526,0.9246922341526
Guatemala,2020-04-29,128,0.9343921832989,0.9343921832989,0.9343921832989
Guatemala,2020-04-29,128,0.9343921832989,0.9343921832989,0.9343921832989
Guatemala,2020-04-30,128,0.943618127107097,0.943618127107097,0.943618127107097
Guatemala,2020-04-30,128,0.943618127107097,0.943618127107097,0.943618127107097
Guatemala,2020-05-01,128,0.953456692470603,0.953456692470603,0.953456692470603
Guatemala,2020-05-01,128,0.953456692470603,0.953456692470603,0.953456692470603
Guatemala,2020-05-02,128,0.965035634161396,0.965035634161396,0.965035634161396
Guatemala,2020-05-02,128,0.965035634161396,0.965035634161396,0.965035634161396
Guatemala,2020-05-03,128,0.979470004293304,0.979470004293304,0.979470004293304
Guatemala,2020-05-03,128,0.979470004293304,0.979470004293304,0.979470004293304
Guatemala,2020-05-04,128,0.997847365136199,0.997847365136199,0.997847365136199
Guatemala,2020-05-04,128,0.997847365136199,0.997847365136199,0.997847365136199
Guatemala,2020-05-05,128,1.0212537797589,1.0212537797589,1.0212537797589
Guatemala,2020-05-05,128,1.0212537797589,1.0212537797589,1.0212537797589
Guatemala,2020-05-06,128,1.050852125692,1.050852125692,1.050852125692
Guatemala,2020-05-06,128,1.050852125692,1.050852125692,1.050852125692
Guatemala,2020-05-07,128,1.08798619442669,1.08798619442669,1.08798619442669
Guatemala,2020-05-07,128,1.08798619442669,1.08798619442669,1.08798619442669
Guatemala,2020-05-08,128,1.13419751576081,1.13419751576081,1.13419751576081
Guatemala,2020-05-08,128,1.13419751576081,1.13419751576081,1.13419751576081
Guatemala,2020-05-09,128,1.1912552768292,1.1912552768292,1.1912552768292
Guatemala,2020-05-09,128,1.1912552768292,1.1912552768292,1.1912552768292
Guatemala,2020-05-10,128,1.2612486442371,1.2612486442371,1.2612486442371
Guatemala,2020-05-10,128,1.2612486442371,1.2612486442371,1.2612486442371
Guatemala,2020-05-11,128,1.34660076104721,1.34660076104721,1.34660076104721
Guatemala,2020-05-11,128,1.34660076104721,1.34660076104721,1.34660076104721
Guatemala,2020-05-12,128,1.45005153892659,1.45005153892659,1.45005153892659
Guatemala,2020-05-12,128,1.45005153892659,1.45005153892659,1.45005153892659
Guatemala,2020-05-13,128,1.5746021062815,1.5746021062815,1.5746021062815
Guatemala,2020-05-13,128,1.5746021062815,1.5746021062815,1.5746021062815
Guatemala,2020-05-14,128,1.7237501435895,1.7237501435895,1.7237501435895
Guatemala,2020-05-14,128,1.7237501435895,1.7237501435895,1.7237501435895
Guatemala,2020-05-15,128,1.9015515473816,1.9015515473816,1.9015515473816
Guatemala,2020-05-15,128,1.9015515473816,1.9015515473816,1.9015515473816
Guatemala,2020-05-16,128,2.1125602857357,2.1125602857357,2.1125602857357
Guatemala,2020-05-16,128,2.1125602857357,2.1125602857357,2.1125602857357
Guatemala,2020-05-17,128,2.3617308156153,2.3617308156153,2.3617308156153
Guatemala,2020-05-17,128,2.3617308156153,2.3617308156153,2.3617308156153
Guatemala,2020-05-18,128,2.65444648483801,2.654446484838,2.654446484838
Guatemala,2020-05-18,128,2.65444648483801,2.654446484838,2.654446484838
Guatemala,2020-05-19,128,2.9962678995737,2.9962678995737,2.9962678995737
Guatemala,2020-05-19,128,2.9962678995737,2.9962678995737,2.9962678995737
Guatemala,2020-05-20,128,3.3928065827452,3.3928065827452,3.3928065827452
Guatemala,2020-05-20,128,3.3928065827452,3.3928065827452,3.3928065827452
Guatemala,2020-05-21,128,3.8493801706961,3.8493801706961,3.8493801706961
Guatemala,2020-05-21,128,3.8493801706961,3.8493801706961,3.8493801706961
Guatemala,2020-05-22,128,4.3705303623044,4.3705303623044,4.3705303623044
Guatemala,2020-05-22,128,4.3705303623044,4.3705303623044,4.3705303623044
Guatemala,2020-05-23,128,4.9599047828064,4.9599047828064,4.9599047828064
Guatemala,2020-05-23,128,4.9599047828064,4.9599047828064,4.9599047828064
Guatemala,2020-05-24,128,5.61975702462799,5.61975702462799,5.61975702462799
Guatemala,2020-05-24,128,5.61975702462799,5.61975702462799,5.61975702462799
Guatemala,2020-05-25,128,6.3501389609193,6.3501389609193,6.3501389609193
Guatemala,2020-05-25,128,6.3501389609193,6.3501389609193,6.3501389609193
Guatemala,2020-05-26,128,7.14823921261451,7.14823921261451,7.14823921261451
Guatemala,2020-05-26,128,7.14823921261451,7.14823921261451,7.14823921261451
Guatemala,2020-05-27,128,8.00800567587399,8.00800567587399,8.00800567587399
Guatemala,2020-05-27,128,8.00800567587399,8.00800567587399,8.00800567587399
Guatemala,2020-05-28,128,8.92015059508542,8.92015059508542,8.92015059508542
Guatemala,2020-05-28,128,8.92015059508542,8.92015059508542,8.92015059508542
Guatemala,2020-05-29,128,9.872768165797,9.872768165797,9.872768165797
Guatemala,2020-05-29,128,9.872768165797,9.872768165797,9.872768165797
Guatemala,2020-05-30,128,10.851777944382,10.851777944382,10.851777944382
Guatemala,2020-05-30,128,10.851777944382,10.851777944382,10.851777944382
Guatemala,2020-05-31,128,11.840961295538,11.840961295538,11.840961295538
Guatemala,2020-05-31,128,11.840961295538,11.840961295538,11.840961295538
Guatemala,2020-06-01,128,12.822656022423,12.822656022423,12.822656022423
Guatemala,2020-06-01,128,12.822656022423,12.822656022423,12.822656022423
Guatemala,2020-06-02,128,13.779251810588,13.779251810588,13.779251810588
Guatemala,2020-06-02,128,13.779251810588,13.779251810588,13.779251810588
Guatemala,2020-06-03,128,14.6944737963931,14.6944737963931,14.6944737963931
Guatemala,2020-06-03,128,14.6944737963931,14.6944737963931,14.6944737963931
Guatemala,2020-06-04,128,15.555287187034,15.555287187034,15.555287187034
Guatemala,2020-06-04,128,15.555287187034,15.555287187034,15.555287187034
Guatemala,2020-06-05,128,16.351978652036,16.351978652036,16.351978652036
Guatemala,2020-06-05,128,16.351978652036,16.351978652036,16.351978652036
Guatemala,2020-06-06,128,17.078663931711,17.078663931711,17.078663931711
Guatemala,2020-06-06,128,17.078663931711,17.078663931711,17.078663931711
Guatemala,2020-06-07,128,17.733771211522,17.733771211522,17.733771211522
Guatemala,2020-06-07,128,17.733771211522,17.733771211522,17.733771211522
Guatemala,2020-06-08,128,18.31947364991,18.31947364991,18.31947364991
Guatemala,2020-06-08,128,18.31947364991,18.31947364991,18.31947364991
Guatemala,2020-06-09,128,18.840772685776,18.840772685776,18.840772685776
Guatemala,2020-06-09,128,18.840772685776,18.840772685776,18.840772685776
Guatemala,2020-06-10,128,19.3057391028059,19.3057391028059,19.3057391028059
